replicate,arm,site,alpha,n_target,reason,certified,tau,coverage,n_answered,answered_err_rate,hard,numbedscategory,teachingstatus,region,aps_coverage,apv_coverage
1,apache-complete,hosp-352,0.05,32,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,,f,,1.0,1.0
1,apache-complete,hosp-352,0.1,32,bbse:bbse-misspecified,True,0.87,0.7188,23,0.0435,False,,f,,1.0,1.0
1,apache-complete,hosp-358,0.05,284,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,Midwest,1.0,1.0
1,apache-complete,hosp-358,0.1,284,bbse:bbse-misspecified,True,0.87,0.8627,245,0.0408,False,100 - 249,f,Midwest,1.0,1.0
1,apache-complete,hosp-360,0.05,202,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,Midwest,1.0,1.0
1,apache-complete,hosp-360,0.1,202,bbse:bbse-misspecified,True,0.87,0.8366,169,0.0769,False,100 - 249,f,Midwest,1.0,1.0
1,apache-complete,hosp-388,0.05,825,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,West,1.0,1.0
1,apache-complete,hosp-388,0.1,825,bbse:failsafe,True,0.87,0.8327,687,0.0539,False,100 - 249,f,West,1.0,1.0
1,apache-complete,hosp-416,0.05,1608,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,t,Midwest,1.0,1.0
1,apache-complete,hosp-416,0.1,1608,bbse:failsafe,True,0.87,0.8744,1406,0.0249,False,>= 500,t,Midwest,1.0,1.0
1,apache-complete,hosp-433,0.05,97,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,,f,South,1.0,1.0
1,apache-complete,hosp-433,0.1,97,bbse:bbse-misspecified,True,0.87,0.5773,56,0.0357,False,,f,South,1.0,1.0
1,apache-complete,hosp-438,0.05,148,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,,f,South,1.0,1.0
1,apache-complete,hosp-438,0.1,148,bbse:bbse-misspecified,True,0.87,0.8311,123,0.0163,False,,f,South,1.0,1.0
1,apache-complete,hosp-459,0.05,531,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,South,1.0,1.0
1,apache-complete,hosp-459,0.1,531,bbse:failsafe,True,0.87,0.7646,406,0.032,False,100 - 249,f,South,1.0,1.0
2,apache-complete,hosp-66,0.05,722,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,Midwest,1.0,1.0
2,apache-complete,hosp-66,0.1,722,bbse:bbse-misspecified,True,0.83,0.8989,649,0.0293,False,100 - 249,f,Midwest,1.0,1.0
2,apache-complete,hosp-73,0.05,5125,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,t,Midwest,1.0,1.0
2,apache-complete,hosp-73,0.1,5125,bbse:failsafe,True,0.83,0.8868,4545,0.0301,False,>= 500,t,Midwest,1.0,1.0
2,apache-complete,hosp-108,0.05,312,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,250 - 499,f,Midwest,1.0,1.0
2,apache-complete,hosp-108,0.1,312,bbse:bbse-misspecified,True,0.83,0.9423,294,0.0476,False,250 - 499,f,Midwest,1.0,1.0
2,apache-complete,hosp-115,0.05,26,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,South,1.0,1.0
2,apache-complete,hosp-115,0.1,26,bbse:bbse-misspecified,True,0.83,0.8846,23,0.087,False,<100,f,South,1.0,1.0
2,apache-complete,hosp-184,0.05,741,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,South,1.0,1.0
2,apache-complete,hosp-184,0.1,741,bbse:failsafe,True,0.83,0.776,575,0.0487,False,250 - 499,f,South,1.0,1.0
2,apache-complete,hosp-198,0.05,532,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,t,South,1.0,1.0
2,apache-complete,hosp-198,0.1,532,bbse:failsafe,True,0.83,0.7951,423,0.0284,False,>= 500,t,South,1.0,1.0
2,apache-complete,hosp-200,0.05,342,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,Northeast,1.0,1.0
2,apache-complete,hosp-200,0.1,342,bbse:bbse-misspecified,True,0.83,0.845,289,0.0484,False,100 - 249,f,Northeast,1.0,1.0
2,apache-complete,hosp-201,0.05,87,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,,1.0,1.0
2,apache-complete,hosp-201,0.1,87,bbse:bbse-misspecified,True,0.83,0.8736,76,0.0132,False,100 - 249,f,,1.0,1.0
