n_sites,draw,alpha,certified,tau,coverage,n_answered,answered_err_rate,hard,decline_reason
60,102,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,103,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,103,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,104,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,104,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,105,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,105,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,106,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,106,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,107,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,107,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,108,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,108,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,109,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,109,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,110,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,110,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,111,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,111,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,112,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,112,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,113,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,113,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,114,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,114,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,115,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,115,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,116,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,116,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,117,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,117,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,118,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,118,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,119,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,119,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,120,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,120,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,121,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,121,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,122,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,122,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,123,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,123,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,124,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,124,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,125,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,125,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,126,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,126,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,127,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,127,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,128,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,128,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,129,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,129,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,130,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,130,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,131,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,131,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,132,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,132,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,133,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,133,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,134,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,134,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,135,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,135,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,136,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,136,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,137,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,137,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,138,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,138,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,139,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,139,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,140,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,140,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,141,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,141,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,142,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,142,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,143,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,143,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,144,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,144,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,145,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,145,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,146,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,146,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,147,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,147,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,148,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,148,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,149,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,149,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,150,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,150,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,151,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,151,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,152,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,152,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,153,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,153,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,154,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,154,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,155,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,155,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,156,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,156,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,157,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,157,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,158,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,158,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,159,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,159,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,160,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,160,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,161,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,161,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,162,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,162,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,163,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,163,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,164,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,164,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,165,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,165,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,166,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,166,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,167,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,167,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,168,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,168,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,169,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,169,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,170,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,170,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,171,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,171,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,172,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,172,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,173,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,173,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,174,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,174,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,175,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,175,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,176,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,176,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,177,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,177,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,178,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,178,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,179,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,179,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,180,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,180,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,181,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,181,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,182,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,182,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,183,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,183,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,184,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,184,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,185,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,185,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,186,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,186,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,187,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,187,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,188,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,188,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,189,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,189,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,190,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,190,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,191,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,191,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,192,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,192,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,193,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,193,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,194,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,194,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,195,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,195,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,196,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,196,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,197,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,197,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,198,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,198,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,199,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,199,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,0,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,0,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,1,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,1,0.1,False,,0.0,0,nan,False,insufficient-clusters
100,2,0.05,False,,0.0,0,nan,False,insufficient-clusters
100,2,0.1,False,,0.0,0,nan,False,insufficient-clusters
