draw,alpha,mode,target_base,certified,tau,coverage,n_answered,answered_err_rate,hard,exceed,rm_fresh,rm_exceed,decline_reason,deploy_mode,bbse_reason,bbse_rho_lo,bbse_rho_hi,bbse_gap_lo,bbse_q_target
18,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.5870278601097743,5.717943791470136,0.48016256558751086,0.10431654676258993
18,0.1,baseline,0.22,True,0.55,0.9820143884892086,273,0.11721611721611722,False,True,0.112957,True,,baseline,,,,,
18,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.5870278601097743,5.717943791470136,0.48016256558751086,0.10431654676258993
19,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
19,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.4088135546700032,8.616330468126113,0.5042453240786766,0.12295081967213115
19,0.1,baseline,0.22,True,0.55,0.9262295081967213,113,0.07079646017699115,False,False,0.107273,True,,baseline,,,,,
19,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.4088135546700032,8.616330468126113,0.5042453240786766,0.12295081967213115
20,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
20,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.6199266396573413,34.19498676194509,0.4970015565043122,0.1836734693877551
20,0.1,baseline,0.22,True,0.55,0.9795918367346939,48,0.10416666666666667,False,True,0.110194,True,,baseline,,,,,
20,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.6199266396573413,34.19498676194509,0.4970015565043122,0.1836734693877551
21,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
21,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.5075897001883394,8.88257725037255,0.4868793846894417,0.15803108808290156
21,0.1,baseline,0.22,True,0.55,0.9844559585492227,380,0.08947368421052632,False,False,0.11534,True,,baseline,,,,,
21,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.5075897001883394,8.88257725037255,0.4868793846894417,0.15803108808290156
22,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
22,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,2.3754488522551043,11.171390475456095,0.527055679644227,0.24358974358974358
22,0.1,baseline,0.22,True,0.55,0.9653846153846154,1506,0.17928286852589642,True,True,0.106116,True,,baseline,,,,,
22,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,2.3754488522551043,11.171390475456095,0.527055679644227,0.24358974358974358
23,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
23,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.406252506896281,9.310763397600734,0.4922806512846686,0.165625
23,0.1,baseline,0.22,True,0.55,0.965625,309,0.13915857605177995,True,True,0.108829,True,,baseline,,,,,
23,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.406252506896281,9.310763397600734,0.4922806512846686,0.165625
24,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
24,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.5763508162312494,5.2517670095363345,0.5009074554007009,0.1420590582601756
24,0.1,baseline,0.22,True,0.55,0.9816440542697525,1230,0.11788617886178862,True,True,0.109995,True,,baseline,,,,,
24,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.5763508162312494,5.2517670095363345,0.5009074554007009,0.1420590582601756
25,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
25,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.1728323352714844,7.354344747626803,0.5015608327761243,0.15692307692307692
25,0.1,baseline,0.22,True,0.55,0.9661538461538461,314,0.1178343949044586,False,True,0.115642,True,,baseline,,,,,
25,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.1728323352714844,7.354344747626803,0.5015608327761243,0.15692307692307692
