replicate,arm,site,alpha,n_target,reason,certified,tau,coverage,n_answered,answered_err_rate,hard,numbedscategory,teachingstatus,region,aps_coverage,apv_coverage
1,primary,hosp-200,0.05,396,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,Northeast,0.974747,0.974747
1,primary,hosp-200,0.1,396,bbse:bbse-misspecified,True,0.79,0.8813,349,0.0573,False,100 - 249,f,Northeast,0.974747,0.974747
1,primary,hosp-210,0.05,574,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,South,0.848432,0.848432
1,primary,hosp-210,0.1,574,bbse:bbse-misspecified,True,0.79,0.9111,523,0.0516,False,100 - 249,f,South,0.848432,0.848432
1,primary,hosp-245,0.05,585,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,South,1.0,1.0
1,primary,hosp-245,0.1,585,bbse:bbse-misspecified,True,0.79,0.9504,556,0.0234,False,100 - 249,f,South,1.0,1.0
1,primary,hosp-246,0.05,209,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,South,1.0,1.0
1,primary,hosp-246,0.1,209,bbse:bbse-misspecified,True,0.79,1.0,209,0.0,False,100 - 249,f,South,1.0,1.0
1,primary,hosp-252,0.05,3010,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,t,Midwest,0.998339,0.998339
1,primary,hosp-252,0.1,3010,bbse:failsafe,True,0.79,0.8432,2538,0.0646,False,>= 500,t,Midwest,0.998339,0.998339
1,primary,hosp-254,0.05,393,baseline:failsafe|bbse:failsafe,False,,,0,,False,,f,Midwest,0.982188,0.982188
1,primary,hosp-254,0.1,393,bbse:failsafe,True,0.79,0.8372,329,0.0365,False,,f,Midwest,0.982188,0.982188
1,primary,hosp-267,0.05,228,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,Midwest,0.964912,0.964912
1,primary,hosp-267,0.1,228,bbse:bbse-misspecified,True,0.79,0.9605,219,0.0046,False,<100,f,Midwest,0.964912,0.964912
1,primary,hosp-273,0.05,132,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,Midwest,1.0,1.0
1,primary,hosp-273,0.1,132,bbse:bbse-misspecified,True,0.79,0.4848,64,0.1875,True,100 - 249,f,Midwest,1.0,1.0
1,primary,hosp-307,0.05,1668,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,South,0.992806,0.992806
1,primary,hosp-307,0.1,1668,bbse:failsafe,True,0.79,0.8675,1447,0.0477,False,250 - 499,f,South,0.992806,0.992806
1,primary,hosp-312,0.05,589,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,South,0.986418,0.986418
1,primary,hosp-312,0.1,589,bbse:failsafe,True,0.79,0.871,513,0.0565,False,100 - 249,f,South,0.986418,0.986418
1,primary,hosp-338,0.05,3758,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,f,Midwest,0.981639,0.981639
1,primary,hosp-338,0.1,3758,bbse:failsafe,True,0.79,0.8771,3296,0.0413,False,>= 500,f,Midwest,0.981639,0.981639
1,primary,hosp-345,0.05,1633,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,South,0.993876,0.993876
1,primary,hosp-345,0.1,1633,bbse:failsafe,True,0.79,0.9039,1476,0.0393,False,250 - 499,f,South,0.993876,0.993876
1,primary,hosp-363,0.05,65,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,Midwest,0.984615,0.984615
1,primary,hosp-363,0.1,65,bbse:bbse-misspecified,True,0.79,0.9846,64,0.0469,False,<100,f,Midwest,0.984615,0.984615
1,primary,hosp-388,0.05,932,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,West,0.998927,0.998927
1,primary,hosp-388,0.1,932,bbse:failsafe,True,0.79,0.8927,832,0.0661,False,100 - 249,f,West,0.998927,0.998927
1,primary,hosp-408,0.05,207,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,West,0.995169,0.995169
1,primary,hosp-408,0.1,207,bbse:bbse-misspecified,True,0.79,0.9807,203,0.0394,False,<100,f,West,0.995169,0.995169
1,primary,hosp-424,0.05,398,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,Northeast,0.979899,0.979899
1,primary,hosp-424,0.1,398,bbse:bbse-misspecified,True,0.79,0.9623,383,0.0235,False,<100,f,Northeast,0.979899,0.979899
1,primary,hosp-436,0.05,291,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,South,0.996564,0.996564
1,primary,hosp-436,0.1,291,bbse:bbse-misspecified,True,0.79,0.9244,269,0.0446,False,100 - 249,f,South,0.996564,0.996564
1,primary,hosp-444,0.05,1258,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,,f,Midwest,0.993641,0.993641
1,primary,hosp-444,0.1,1258,bbse:bbse-misspecified,True,0.79,0.9467,1191,0.0462,False,,f,Midwest,0.993641,0.993641
2,primary,hosp-60,0.05,291,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,Midwest,0.975945,0.975945
2,primary,hosp-60,0.1,291,bbse:bbse-misspecified,True,0.87,0.8969,261,0.0192,False,<100,f,Midwest,0.975945,0.975945
2,primary,hosp-68,0.05,478,baseline:failsafe|bbse:failsafe,False,,,0,,False,<100,f,Midwest,0.981172,0.981172
