s_u,draw,n_sites,alpha,certified,tau,coverage,n_answered,answered_err_rate,hard,exceed,rm_fresh,rm_exceed,per_site_exceed_frac,deploy_mode,decline_reason
0.5,31,208,0.1,True,0.55,0.996551724137931,289,0.03460207612456748,False,False,0.054357,False,0.045,baseline,
0.5,32,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,32,208,0.1,True,0.55,0.9774236387782205,736,0.059782608695652176,False,False,0.056492,False,0.045,baseline,
0.5,33,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,33,208,0.1,True,0.55,0.9882075471698113,838,0.041766109785202864,False,False,0.055838,False,0.04,baseline,
0.5,34,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,34,208,0.1,True,0.5700000000000001,0.9793658782083543,1946,0.06474820143884892,False,False,0.058249,False,0.055,baseline,
0.5,35,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
0.5,35,208,0.1,True,0.55,0.9922480620155039,128,0.0390625,False,False,0.055576,False,0.035,baseline,
0.5,36,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,36,208,0.1,True,0.55,0.9953051643192489,212,0.05188679245283019,False,False,0.056878,False,0.06,baseline,
0.5,37,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,37,208,0.1,True,0.55,0.9831683168316832,993,0.07452165156092648,False,False,0.055691,False,0.035,baseline,
0.5,38,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,38,208,0.1,True,0.55,0.9731182795698925,181,0.07734806629834254,False,False,0.055886,False,0.03,baseline,
0.5,39,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,39,208,0.1,True,0.55,0.9696356275303644,479,0.04175365344467641,False,False,0.056149,False,0.055,baseline,
0.5,40,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,40,208,0.1,True,0.55,0.984728161270617,1612,0.07009925558312655,False,False,0.055885,False,0.045,baseline,
