draw,alpha,certified,tau,coverage,n_answered,answered_err_rate,hard,exceed,rm_fresh,rm_exceed,deploy_mode,decline_reason
49,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
49,0.1,True,0.55,0.9789473684210527,186,0.17204301075268819,True,True,0.162724,True,baseline,
50,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
50,0.1,True,0.55,0.9797160243407708,483,0.2318840579710145,True,True,0.167489,True,baseline,
51,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
51,0.1,True,0.55,0.9910233393177738,552,0.13405797101449277,True,True,0.162946,True,baseline,
52,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
52,0.1,True,0.55,0.9845924453280318,1981,0.18778394750126198,True,True,0.165602,True,baseline,
53,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
53,0.1,True,0.55,0.9733924611973392,439,0.16856492027334852,True,True,0.163109,True,baseline,
54,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
54,0.1,True,0.55,0.9897435897435898,386,0.15544041450777202,True,True,0.169268,True,baseline,
55,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
55,0.1,True,0.55,0.9872340425531915,2088,0.21216475095785442,True,True,0.168984,True,baseline,
56,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
56,0.1,True,0.5900000000000001,0.9686539643515673,1576,0.19289340101522842,True,True,0.15901,True,baseline,
57,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
57,0.1,True,0.55,0.9923076923076923,516,0.18410852713178294,True,True,0.170792,True,baseline,
58,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
58,0.1,True,0.55,0.9843444227005871,503,0.15705765407554673,True,True,0.163984,True,baseline,
59,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
59,0.1,True,0.55,0.9864029666254636,798,0.15664160401002505,True,True,0.16145,True,baseline,
60,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
60,0.1,True,0.55,0.9864864864864865,73,0.0958904109589041,False,False,0.164798,True,baseline,
61,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
61,0.1,True,0.55,1.0,124,0.24193548387096775,True,True,0.157639,True,baseline,
62,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
62,0.1,True,0.55,0.989010989010989,90,0.06666666666666667,False,False,0.155736,True,baseline,
63,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
63,0.1,True,0.55,0.9849411764705882,2093,0.13425704730052557,True,True,0.15865,True,baseline,
64,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
64,0.1,True,0.55,0.9888888888888889,445,0.20449438202247192,True,True,0.165874,True,baseline,
65,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
65,0.1,True,0.55,0.9855072463768116,272,0.15808823529411764,True,True,0.173902,True,baseline,
66,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
66,0.1,True,0.55,0.9934687953555879,1369,0.09203798392987582,False,False,0.157452,True,baseline,
67,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
67,0.1,True,0.55,0.97724399494311,773,0.1461836998706339,True,True,0.167804,True,baseline,
68,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
68,0.1,True,0.55,0.9844789356984479,444,0.12612612612612611,True,True,0.167569,True,baseline,
69,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
69,0.1,True,0.55,0.9858667435823478,3418,0.1582796957284962,True,True,0.164485,True,baseline,
70,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
70,0.1,True,0.55,1.0,104,0.08653846153846154,False,False,0.163018,True,baseline,
71,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
71,0.1,True,0.55,1.0,62,0.22580645161290322,True,True,0.167173,True,baseline,
72,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
72,0.1,True,0.55,0.9849246231155779,196,0.10714285714285714,False,True,0.166344,True,baseline,
73,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
73,0.1,True,0.55,1.0,119,0.21008403361344538,True,True,0.167247,True,baseline,
74,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
74,0.1,True,0.55,0.9705882352941176,231,0.2554112554112554,True,True,0.162026,True,baseline,
75,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
75,0.1,True,0.5700000000000001,0.9794238683127572,714,0.10504201680672269,False,True,0.1652,True,baseline,
76,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
76,0.1,True,0.55,0.9797101449275363,338,0.1390532544378698,True,True,0.164022,True,baseline,
77,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
77,0.1,True,0.5700000000000001,0.9925093632958801,265,0.12830188679245283,False,True,0.165445,True,baseline,
78,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
78,0.1,True,0.6900000000000001,0.9486228813559322,1791,0.096035734226689,False,False,0.139443,True,bbse,
79,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
79,0.1,True,0.55,0.991304347826087,456,0.1425438596491228,True,True,0.162638,True,baseline,
80,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
80,0.1,True,0.55,0.9711286089238845,370,0.24324324324324326,True,True,0.173162,True,baseline,
81,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
81,0.1,True,0.55,0.98828125,253,0.1541501976284585,True,True,0.168409,True,baseline,
